E5_File,E5_Unique_HR_30,E5_Unique_HR_20,E5_Unique_HR_10,E5_Unique_HR_5,E5_MRR,top_30_HR_whole,top_20_whole,top_10_whole,top_5_whole,MRR_whole,File_name
output1.txt,0.942857143,0.928571429,0.871428571,0.785714286,0.625463577,1,0.985714286,0.957142857,0.871428571,0.739958312,output1.txt
output10.txt,0.942857143,0.942857143,0.914285714,0.785714286,0.6644275,1,0.985714286,0.871428571,0.814285714,0.720529192,output10.txt
output11.txt,0.9,0.9,0.885714286,0.8,0.659380503,1,0.985714286,0.914285714,0.871428571,0.770204027,output11.txt
output12.txt,0.928571429,0.928571429,0.914285714,0.857142857,0.687811636,1,0.971428571,0.957142857,0.885714286,0.712764981,output12.txt
output13.txt,0.914285714,0.914285714,0.914285714,0.885714286,0.712316828,0.971428571,0.957142857,0.942857143,0.871428571,0.748635512,output13.txt
output14.txt,0.957142857,0.942857143,0.928571429,0.857142857,0.725381329,0.985714286,0.985714286,0.957142857,0.928571429,0.796787193,output14.txt
output15.txt,0.914285714,0.914285714,0.885714286,0.757142857,0.621578903,0.985714286,0.985714286,0.928571429,0.885714286,0.767431241,output15.txt
output16.txt,0.9,0.9,0.857142857,0.771428571,0.59369434,0.971428571,0.971428571,0.914285714,0.9,0.677487086,output16.txt
output17.txt,0.942857143,0.928571429,0.885714286,0.8,0.682841911,1,1,0.985714286,0.928571429,0.76271542,output17.txt
output18.txt,0.928571429,0.928571429,0.914285714,0.842857143,0.695041733,0.985714286,0.985714286,0.942857143,0.9,0.780744452,output18.txt
output19.txt,0.914285714,0.914285714,0.842857143,0.757142857,0.603969498,0.985714286,0.985714286,0.957142857,0.885714286,0.734403505,output19.txt
output2.txt,0.914285714,0.914285714,0.885714286,0.857142857,0.685585293,0.971428571,0.971428571,0.942857143,0.942857143,0.769495614,output2.txt
output20.txt,0.928571429,0.928571429,0.914285714,0.828571429,0.740761323,0.971428571,0.971428571,0.914285714,0.871428571,0.776198112,output20.txt
output21.txt,0.914285714,0.9,0.885714286,0.8,0.635594035,1,0.971428571,0.957142857,0.885714286,0.733588435,output21.txt
output22.txt,0.928571429,0.928571429,0.914285714,0.842857143,0.704324877,0.957142857,0.928571429,0.914285714,0.871428571,0.735079383,output22.txt
output23.txt,0.9,0.871428571,0.871428571,0.842857143,0.707386093,1,0.985714286,0.942857143,0.885714286,0.766371961,output23.txt
output24.txt,0.885714286,0.871428571,0.814285714,0.728571429,0.554167398,0.985714286,0.957142857,0.9,0.857142857,0.706312407,output24.txt
output25.txt,0.871428571,0.871428571,0.842857143,0.814285714,0.640197128,0.985714286,0.971428571,0.942857143,0.857142857,0.722655141,output25.txt
output26.txt,0.9,0.9,0.842857143,0.742857143,0.613760426,0.971428571,0.971428571,0.885714286,0.814285714,0.708084685,output26.txt
