E5_File,E5_Unique_HR_30,E5_Unique_HR_20,E5_Unique_HR_10,E5_Unique_HR_5,E5_MRR,top_30_HR_whole,top_20_whole,top_10_whole,top_5_whole,MRR_whole,File_name
output42.txt,0.928571429,0.914285714,0.871428571,0.8,0.682997037,0.985714286,0.971428571,0.957142857,0.9,0.780739606,output42.txt
output43.txt,0.928571429,0.928571429,0.885714286,0.842857143,0.660536951,0.971428571,0.971428571,0.914285714,0.9,0.756502804,output43.txt
output44.txt,0.914285714,0.914285714,0.857142857,0.757142857,0.613303592,0.971428571,0.971428571,0.928571429,0.885714286,0.73929828,output44.txt
output45.txt,0.9,0.885714286,0.871428571,0.828571429,0.643433997,1,0.971428571,0.914285714,0.842857143,0.718059065,output45.txt
output46.txt,0.885714286,0.885714286,0.871428571,0.828571429,0.708655045,0.985714286,0.985714286,0.942857143,0.914285714,0.78195778,output46.txt
output47.txt,0.871428571,0.871428571,0.842857143,0.728571429,0.622472792,0.985714286,0.971428571,0.885714286,0.785714286,0.70518238,output47.txt
output48.txt,0.942857143,0.928571429,0.9,0.842857143,0.673839319,0.985714286,0.971428571,0.928571429,0.857142857,0.761607001,output48.txt
output49.txt,0.928571429,0.928571429,0.9,0.842857143,0.681779887,1,1,0.971428571,0.928571429,0.835461218,output49.txt
output5.txt,0.857142857,0.857142857,0.828571429,0.771428571,0.622874826,1,1,0.942857143,0.828571429,0.721331935,output5.txt
output50.txt,0.914285714,0.914285714,0.885714286,0.842857143,0.662989955,1,1,0.957142857,0.9,0.747708006,output50.txt
output6.txt,0.885714286,0.885714286,0.842857143,0.771428571,0.655534723,0.985714286,0.971428571,0.9,0.814285714,0.756467897,output6.txt
output7.txt,0.914285714,0.914285714,0.857142857,0.8,0.675454952,0.985714286,0.971428571,0.9,0.842857143,0.769741437,output7.txt
output8.txt,0.914285714,0.914285714,0.871428571,0.814285714,0.641894886,0.985714286,0.985714286,0.942857143,0.857142857,0.730399629,output8.txt
output9.txt,0.957142857,0.942857143,0.9,0.842857143,0.689514949,1,0.985714286,0.957142857,0.9,0.744214726,output9.txt
